P50,P75,P90,safety_stock,risk_flag
14425.058,21738.424,35525.586,21100.527,True
21768.977,22618.889,35815.37,14046.395,True
24639.38,26203.297,35692.355,11052.975,True
24436.758,30472.225,36129.89,11693.133,True
28195.752,30694.906,36308.97,8113.217,False
30801.732,31433.104,36140.84,5339.1074,False
30570.068,30570.068,36479.926,5909.8574,False
34599.277,34599.277,37085.707,2486.4297,False
29280.346,30137.922,36311.44,7031.0957,False
43185.06,45922.723,45922.723,2737.664,False
31106.621,31106.621,38028.023,6921.4023,False
26339.566,26418.885,37118.586,10779.02,True
15771.078,21509.809,35525.586,19754.508,True
21549.434,22878.58,35815.37,14265.9375,True
25507.887,26088.03,35692.355,10184.469,True
25308.54,30360.432,36129.89,10821.352,True
39243.22,42908.566,43299.867,4056.6484,False
40719.438,42367.65,42709.645,1990.207,False
36595.793,37758.605,38640.277,2044.4844,False
35389.594,35389.594,37920.055,2530.461,False
33289.7,33890.793,37735.297,4445.5977,False
43662.562,44777.742,44777.742,1115.1797,False
32237.299,32237.299,38288.35,6051.0527,False
24108.348,26819.7,36918.06,12809.711,True
14719.55,21738.424,36058.645,21339.094,True
22112.914,22927.611,35815.37,13702.457,True
25226.203,26509.49,35692.355,10466.152,True
25256.904,30331.432,36129.89,10872.986,True
36752.72,40858.28,41685.176,4932.457,False
36442.01,36525.812,37986.92,1544.9102,False
36162.86,36162.86,37594.64,1431.7812,False
36838.684,36838.684,37512.28,673.59766,False
32579.148,32579.148,37011.816,4432.668,False
44684.9,46526.28,46526.28,1841.3828,False
31339.822,31339.822,37989.754,6649.9316,False
20311.678,25586.46,36928.67,16616.994,True
