Signal_Record_ID,Date,Region,State,Max_Temp_C,Min_Temp_C,Cooling_Degree_Days,Consumer_Confidence_Index,Google_Trends_AC_Index,COVID_Impact_Score,Heatwave_Severity_Score,Semiconductor_Shortage_Score,Festive_Multiplier,Composite_Demand_Index,Forecast_AC_Units_Next_Month_TARGET,Split_Tag
SIG-000001,2018-01-01,North,Delhi,14.6242,4.9434,0.0,102.1357,8.0,0.0,0.0,0.0,1.2,0.1261,340.0,TRAIN
SIG-000002,2018-01-01,North,Delhi,11.5206,3.0536,0.0,97.9092,8.0,0.0,0.0,0.0,1.2,,239.0,TRAIN
SIG-000003,2018-01-01,North,Delhi,13.6434,2.772,0.0,105.0516,8.0,0.0,0.0,0.0,1.2,0.1316,298.0,TRAIN
SIG-000004,2018-01-01,North,Delhi,12.1102,3.8287,0.0,97.2566,8.0,0.0,0.0,0.0,1.2,0.117,244.0,TRAIN
SIG-000005,2018-01-01,North,Delhi,13.6013,2.6627,0.0,113.3226,8.0,0.0,0.0,0.0,1.2,0.1471,252.0,TRAIN
SIG-000006,2018-01-01,North,Delhi,10.2214,1.8367,0.0,114.3463,8.0,0.0,0.0,0.0,1.2,0.149,132.0,TRAIN
SIG-000007,2018-01-01,North,Delhi,12.2359,2.9591,0.0,90.6054,8.0,0.0,0.0,0.0,1.2,0.1045,247.0,TRAIN
SIG-000008,2018-01-01,North,Delhi,12.9288,3.6561,0.0,95.4501,8.0,0.0,0.0,0.0,1.2,0.1136,237.0,TRAIN
SIG-000009,2018-01-01,North,Delhi,12.714,1.7027,0.0,97.6053,8.0,0.0,0.0,0.0,1.2,0.1176,242.0,TRAIN
SIG-000010,2018-01-01,North,Delhi,13.0562,2.8537,0.0,114.2794,8.0,0.0,0.0,0.0,1.2,0.1489,270.0,TRAIN
SIG-000011,2018-01-01,North,Delhi,9.7018,-1.1501,0.0,103.0393,8.0,0.0,0.0,0.0,1.2,0.1278,134.0,TRAIN
SIG-000012,2018-01-01,North,Delhi,12.0255,2.9549,0.0,108.6187,8.0,0.0,0.0,0.0,1.2,0.1383,177.0,TRAIN
SIG-000013,2018-01-01,North,Delhi,10.3784,-1.1145,0.0,109.8536,8.0,0.0,0.0,0.0,1.2,0.1406,177.0,TRAIN
SIG-000014,2018-01-01,North,Delhi,15.2994,6.3408,0.0,107.268,8.0,0.0,0.0,0.0,1.2,0.1357,391.0,TRAIN
SIG-000015,2018-01-01,North,Delhi,11.6267,2.3824,,102.5384,8.0,0.0,0.0,0.0,1.2,0.1269,205.0,TRAIN
SIG-000016,2018-01-01,North,Delhi,14.722,3.4552,0.0,91.3511,8.0,0.0,0.0,,1.2,0.1059,326.0,TRAIN
SIG-000017,2018-01-01,North,Delhi,10.6242,0.3356,0.0,102.4048,8.0,0.0,0.0,0.0,1.2,0.1266,139.0,TRAIN
SIG-000018,2018-01-01,North,Delhi,12.0264,2.8649,0.0,112.1905,8.0,0.0,0.0,0.0,1.2,0.145,220.0,TRAIN
SIG-000019,2018-01-01,North,Delhi,12.023,0.9074,0.0,102.3641,8.0,0.0,0.0,0.0,1.2,,290.0,TRAIN
SIG-000020,2018-01-01,North,Delhi,11.266,2.8453,0.0,108.8821,13.0,0.0,0.0,0.0,1.2,0.1448,231.0,TRAIN
SIG-000021,2018-01-01,North,Delhi,11.2547,0.7338,0.0,104.4866,8.0,0.0,0.0,0.0,1.2,0.1305,221.0,TRAIN
SIG-000022,2018-01-01,North,Delhi,12.6003,1.6552,0.0,100.3501,8.0,0.0,0.0,0.0,1.2,0.1228,194.0,TRAIN
SIG-000023,2018-01-01,North,Delhi,9.8917,-0.3613,0.0,96.4772,9.0,0.0,,0.0,1.2,0.1167,102.0,TRAIN
SIG-000024,2018-01-01,North,Delhi,14.2492,4.8407,0.0,90.7634,8.0,0.0,0.0,0.0,1.2,0.1048,339.0,TRAIN
SIG-000025,2018-01-01,North,Delhi,12.5291,2.8505,0.0,103.3936,8.0,0.0,0.0,0.0,1.2,0.1285,239.0,TRAIN
SIG-000026,2018-01-01,North,Delhi,12.0533,0.3151,0.0,92.7935,8.0,0.0,0.0,0.0,1.2,0.1086,255.0,TRAIN
SIG-000027,2018-01-01,North,Delhi,12.2827,1.7152,0.0,92.676,8.0,0.0,0.0,0.0,1.2,,223.0,TRAIN
SIG-000028,2018-01-01,North,Delhi,10.5573,0.2634,0.0,93.9421,8.0,0.0,0.0,0.0,1.2,0.1107,179.0,TRAIN
SIG-000029,2018-01-01,North,Delhi,11.056,0.9178,0.0,101.2851,8.0,0.0,0.0,0.0,1.2,0.1245,156.0,TRAIN
SIG-000030,2018-01-01,North,Delhi,13.6874,3.1864,0.0,108.3361,8.0,0.0,0.0,0.0,1.2,0.1377,237.0,TRAIN
SIG-000031,2018-01-01,North,Delhi,11.196,0.663,0.0,108.7511,8.0,0.0,0.0,0.0,1.2,0.1385,135.0,TRAIN
SIG-000032,2018-01-01,North,Delhi,10.9764,2.0776,0.0,100.311,8.0,0.0,0.0,0.0,1.2,0.1227,212.0,TRAIN
SIG-000033,2018-01-01,North,Delhi,12.7597,1.1563,0.0,114.2564,8.0,0.0,0.0,0.0,1.2,0.1488,219.0,TRAIN
SIG-000034,2018-01-01,North,Delhi,11.5686,2.5788,0.0,101.4326,8.0,0.0,0.0,0.0,1.2,0.1248,244.0,TRAIN
SIG-000035,2018-01-01,North,Delhi,8.5115,-1.9878,0.0,93.0747,8.0,0.0,0.0,0.0,1.2,0.1091,102.0,TRAIN
SIG-000036,2018-01-01,North,Delhi,,2.5155,0.0,,8.0,0.0,0.0,0.0,1.2,0.1399,301.0,TRAIN
SIG-000037,2018-01-01,North,Delhi,12.336,2.0124,0.0,109.3781,8.0,0.0,0.0,0.0,1.2,0.1397,248.0,TRAIN
SIG-000038,2018-01-01,North,Delhi,13.941,3.3874,0.0,109.1297,8.0,0.0,0.0,0.0,,0.1392,,TRAIN
SIG-000039,2018-01-01,North,Delhi,12.7745,1.2295,0.0,94.2687,8.0,0.0,,0.0,1.2,0.1114,243.0,TRAIN
SIG-000040,2018-01-01,North,Delhi,9.2596,-0.3738,0.0,,8.0,0.0,0.0,0.0,,0.1408,121.0,TRAIN
SIG-000041,2018-01-01,South,Tamil Nadu,28.4562,19.1063,173.4372,105.0273,27.0,0.0,0.0,0.0,1.2,0.2121,697.0,TRAIN
SIG-000042,2018-01-01,South,Tamil Nadu,23.6839,14.7458,36.4455,110.034,8.0,0.0,0.0,0.0,1.2,0.1531,501.0,TRAIN
SIG-000043,2018-01-01,South,Tamil Nadu,23.2098,11.9566,0.0,93.9386,8.0,0.0,0.0,0.0,1.2,0.1107,511.0,TRAIN
SIG-000044,2018-01-01,South,Tamil Nadu,25.6155,13.9128,52.925,114.6315,10.0,0.0,0.0,0.0,1.2,0.1696,628.0,TRAIN
SIG-000045,2018-01-01,South,Tamil Nadu,27.8003,19.7044,172.5701,98.0433,34.0,0.0,0.0,0.0,1.2,0.2072,657.0,TRAIN
SIG-000046,2018-01-01,South,Tamil Nadu,24.1025,13.6931,26.9337,96.7055,9.0,0.0,0.0,0.0,1.2,0.1261,412.0,TRAIN
SIG-000047,2018-01-01,South,Tamil Nadu,23.7854,15.6398,51.3779,104.2278,10.0,0.0,0.0,0.0,1.2,0.1496,611.0,TRAIN
SIG-000048,2018-01-01,South,Tamil Nadu,26.8427,15.5574,96.0018,90.6207,18.0,0.0,0.0,0.0,1.2,0.1485,555.0,TRAIN
SIG-000049,2018-01-01,South,Tamil Nadu,26.8903,15.4311,94.82,106.1202,14.0,0.0,0.0,0.0,1.2,0.1724,632.0,TRAIN
SIG-000050,2018-01-01,South,Tamil Nadu,27.855,17.4409,139.4378,94.3981,20.0,0.0,0.0,0.0,1.2,,668.0,TRAIN
SIG-000051,2018-01-01,South,Tamil Nadu,25.0351,15.0916,61.9014,105.5193,8.0,0.0,0.0,,1.2,0.1531,555.0,TRAIN
SIG-000052,2018-01-01,South,Tamil Nadu,26.7334,16.435,,111.4135,11.0,0.0,0.0,0.0,1.2,0.1829,611.0,TRAIN
SIG-000053,2018-01-01,South,Tamil Nadu,25.7501,14.8669,69.2552,100.9695,14.0,0.0,0.0,0.0,1.2,0.1542,654.0,TRAIN
SIG-000054,2018-01-01,South,Tamil Nadu,26.7796,18.0953,133.1234,106.6513,28.0,0.0,0.0,0.0,1.2,0.2029,730.0,TRAIN
SIG-000055,2018-01-01,South,Tamil Nadu,,17.6817,117.7173,101.1134,18.0,0.0,0.0,,1.2,0.1754,577.0,TRAIN
SIG-000056,2018-01-01,South,Tamil Nadu,26.867,17.2784,122.1798,107.7475,21.0,0.0,0.0,0.0,1.2,0.193,633.0,TRAIN
SIG-000057,2018-01-01,South,Tamil Nadu,22.5755,11.7624,0.0,90.4321,8.0,0.0,0.0,0.0,1.2,0.1042,405.0,TRAIN
SIG-000058,2018-01-01,South,Tamil Nadu,27.6432,19.236,163.1891,93.8816,37.0,0.0,0.0,0.0,1.2,0.1998,582.0,TRAIN
SIG-000059,2018-01-01,South,Tamil Nadu,27.1309,18.3825,142.7012,98.4233,20.0,0.0,0.0,0.0,1.2,0.1811,655.0,TRAIN
SIG-000060,2018-01-01,South,Tamil Nadu,28.5593,19.0955,174.8208,95.6613,23.0,0.0,,0.0,1.2,0.1902,719.0,TRAIN
SIG-000061,2018-01-01,South,Tamil Nadu,23.2612,12.0143,0.0,99.9235,8.0,0.0,0.0,0.0,1.2,0.122,456.0,TRAIN
SIG-000062,2018-01-01,South,Tamil Nadu,25.2725,13.9555,48.4209,103.5205,8.0,0.0,0.0,0.0,1.2,,514.0,TRAIN
SIG-000063,2018-01-01,South,Tamil Nadu,25.5084,13.8634,50.5766,92.8285,11.0,0.0,0.0,0.0,,0.1291,614.0,TRAIN
SIG-000064,2018-01-01,South,Tamil Nadu,26.2731,14.7131,74.7932,106.2501,8.0,0.0,0.0,0.0,,0.1587,545.0,TRAIN
SIG-000065,2018-01-01,South,Tamil Nadu,25.7328,14.9359,70.0292,99.2768,8.0,0.0,0.0,0.0,1.2,0.1441,597.0,TRAIN
SIG-000066,2018-01-01,South,Tamil Nadu,23.3741,12.8833,3.8605,104.0723,8.0,0.0,0.0,,1.2,0.131,511.0,TRAIN
SIG-000067,2018-01-01,South,Tamil Nadu,24.2327,14.014,33.7005,102.398,9.0,0.0,0.0,0.0,1.2,0.139,505.0,TRAIN
SIG-000068,2018-01-01,South,Tamil Nadu,28.7247,18.3822,166.6037,110.6164,22.0,0.0,0.0,0.0,1.2,,730.0,TRAIN
SIG-000069,2018-01-01,South,Tamil Nadu,24.7318,13.923,39.822,100.8742,8.0,0.0,0.0,0.0,1.2,0.137,586.0,TRAIN
SIG-000070,2018-01-01,South,Tamil Nadu,24.4237,13.1729,23.9493,107.2429,8.0,0.0,0.0,0.0,1.2,0.1437,535.0,TRAIN
SIG-000071,2018-01-01,South,Tamil Nadu,28.3495,17.8435,152.8952,103.1664,25.0,0.0,0.0,0.0,1.2,0.1994,623.0,TRAIN
SIG-000072,2018-01-01,South,Tamil Nadu,29.093,18.9851,181.1713,,29.0,0.0,0.0,0.0,1.2,0.2263,658.0,TRAIN
SIG-000073,2018-01-01,South,Tamil Nadu,26.1902,18.0811,124.0697,95.4974,25.0,0.0,0.0,0.0,1.2,0.1754,609.0,TRAIN
SIG-000074,2018-01-01,South,Tamil Nadu,27.0988,18.3009,140.9962,95.8591,14.0,0.0,0.0,0.0,1.2,0.1685,614.0,TRAIN
SIG-000075,2018-01-01,South,Tamil Nadu,26.3716,15.4863,87.8681,104.0395,8.0,0.0,0.0,0.0,1.2,0.159,569.0,TRAIN
SIG-000076,2018-01-01,South,Tamil Nadu,23.9992,12.2162,3.232,113.1637,8.0,0.0,0.0,0.0,1.2,0.1479,567.0,TRAIN
SIG-000077,2018-01-01,South,Tamil Nadu,27.1704,19.151,154.8201,106.1071,20.0,0.0,0.0,0.0,1.2,0.1996,685.0,TRAIN
SIG-000078,2018-01-01,South,Tamil Nadu,24.4726,15.123,53.9339,107.8153,8.0,0.0,0.0,0.0,,0.1547,637.0,TRAIN
SIG-000079,2018-01-01,South,Tamil Nadu,26.1181,16.5499,100.0205,97.0633,28.0,0.0,0.0,0.0,1.2,0.1739,641.0,TRAIN
SIG-000080,2018-01-01,South,Tamil Nadu,29.2548,17.2656,157.8061,,29.0,0.0,0.0,0.0,1.2,0.1998,670.0,TRAIN
SIG-000081,2018-01-01,East,West Bengal,17.0534,7.3451,,93.4273,8.0,0.0,0.0,0.0,1.2,0.1098,279.0,TRAIN
SIG-000082,2018-01-01,East,West Bengal,21.4926,11.9764,0.0,109.8874,8.0,0.0,0.0,0.0,1.2,0.1406,385.0,TRAIN
SIG-000083,2018-01-01,East,West Bengal,19.1871,7.2457,0.0,104.2224,8.0,0.0,0.0,0.0,1.2,0.13,320.0,TRAIN
SIG-000084,2018-01-01,East,West Bengal,19.3953,10.7784,0.0,108.2277,8.0,0.0,0.0,0.0,1.2,0.1375,424.0,TRAIN
SIG-000085,2018-01-01,East,West Bengal,17.032,8.8733,0.0,107.4163,8.0,0.0,0.0,0.0,1.2,0.136,288.0,TRAIN
SIG-000086,2018-01-01,East,West Bengal,19.2169,10.7967,0.0,112.0421,8.0,0.0,0.0,0.0,1.2,0.1447,389.0,TRAIN
SIG-000087,2018-01-01,East,West Bengal,19.267,9.565,0.0,108.0727,8.0,0.0,0.0,0.0,1.2,0.1372,339.0,TRAIN
SIG-000088,2018-01-01,East,West Bengal,18.1388,6.2507,0.0,95.8801,8.0,0.0,0.0,0.0,1.2,0.1144,373.0,TRAIN
SIG-000089,2018-01-01,East,West Bengal,17.2516,6.2993,0.0,100.4795,8.0,0.0,0.0,0.0,1.2,0.123,245.0,TRAIN
SIG-000090,2018-01-01,East,West Bengal,17.3389,9.0347,0.0,105.8069,,0.0,0.0,0.0,1.2,0.133,330.0,TRAIN
SIG-000091,2018-01-01,East,West Bengal,16.0113,5.7107,0.0,96.445,8.0,0.0,0.0,0.0,1.2,0.1154,186.0,TRAIN
SIG-000092,2018-01-01,East,West Bengal,16.8879,7.5622,0.0,96.8371,8.0,0.0,0.0,0.0,1.2,0.1162,362.0,TRAIN
