Shipment_ID,Date,Region,State,Origin_Warehouse,Transport_Mode,Units_Shipped,Distance_KM,Cost_Per_Unit_INR,CO2_Emissions_Kg,Split_Tag
SHP-000001,2018-01-01,North,Delhi,WH050,Rail,458.0,1215.0,386.96,3450.114,TRAIN
SHP-000002,2018-01-01,North,Delhi,WH038,Road,1010.0,435.0,543.13,2723.97,TRAIN
SHP-000003,2018-01-01,North,Delhi,WH031,Air,1517.0,1034.0,488.59,9725.1836,TRAIN
SHP-000004,2018-01-01,North,Delhi,WH007,Rail,1158.0,,401.38,2326.1904,TRAIN
SHP-000005,2018-01-01,North,Delhi,WH006,Air,1735.0,2055.0,473.42,22105.635,TRAIN
SHP-000006,2018-01-01,North,Delhi,WH026,Rail,114.0,2158.0,519.17,1525.2744,TRAIN
SHP-000007,2018-01-01,North,Delhi,WH011,Air,1762.0,1527.0,575.69,16681.5588,TRAIN
SHP-000008,2018-01-01,North,Delhi,WH005,Road,,1309.0,558.0,9057.2328,TRAIN
SHP-000009,2018-01-01,North,Delhi,WH016,Air,1376.0,2262.0,532.24,19297.5744,TRAIN
SHP-000010,2018-01-01,North,Delhi,WH021,Rail,1763.0,306.0,696.93,3344.7636,TRAIN
SHP-000011,2018-01-01,North,Delhi,WH034,Road,1851.0,2341.0,518.54,26865.7842,TRAIN
SHP-000012,2018-01-01,North,Delhi,WH001,Air,1740.0,1532.0,650.52,16527.216,TRAIN
SHP-000013,2018-01-01,North,Delhi,WH042,Rail,1513.0,2280.0,591.62,21387.768,TRAIN
SHP-000014,2018-01-01,North,Delhi,WH006,Air,1773.0,953.0,495.99,10475.9478,TRAIN
SHP-000015,2018-01-01,North,Delhi,WH049,Road,1947.0,1183.0,602.47,,TRAIN
SHP-000016,2018-01-01,North,Delhi,WH002,Road,1319.0,1926.0,641.4,15750.4428,TRAIN
SHP-000017,2018-01-01,North,Delhi,WH026,Road,1618.0,1269.0,,12730.1004,TRAIN
SHP-000018,2018-01-01,North,Delhi,WH005,Road,1132.0,1737.0,386.25,12190.9608,TRAIN
SHP-000019,2018-01-01,North,Delhi,WH014,Road,1992.0,1230.0,610.64,15190.992,TRAIN
SHP-000020,2018-01-01,North,Delhi,WH046,Rail,1318.0,108.0,428.49,882.5328,TRAIN
SHP-000021,2018-01-01,North,Delhi,WH037,Air,541.0,1993.0,704.88,6684.9206,TRAIN
SHP-000022,2018-01-01,North,Delhi,WH018,Rail,756.0,585.0,663.33,2742.012,TRAIN
SHP-000023,2018-01-01,North,Delhi,WH022,Road,216.0,2309.0,479.89,3092.2128,TRAIN
SHP-000024,2018-01-01,North,Delhi,WH009,Road,320.0,2280.0,684.8,4523.52,TRAIN
SHP-000025,2018-01-01,North,Delhi,WH004,Rail,648.0,1855.0,419.94,7452.648,TRAIN
SHP-000026,2018-01-01,North,Delhi,WH044,,1396.0,1453.0,582.79,12576.0056,TRAIN
SHP-000027,2018-01-01,North,Delhi,WH033,Road,165.0,782.0,518.41,799.986,TRAIN
SHP-000028,2018-01-01,North,Delhi,WH042,Rail,1905.0,1697.0,607.34,20043.267,TRAIN
SHP-000029,2018-01-01,North,Delhi,WH027,Road,1434.0,1342.0,589.33,11931.4536,TRAIN
SHP-000030,2018-01-01,North,Delhi,WH038,Rail,1683.0,2445.0,626.95,25512.597,TRAIN
SHP-000031,2018-01-01,North,Delhi,WH012,Rail,895.0,,508.24,9694.103,TRAIN
SHP-000032,2018-01-01,North,Delhi,WH037,Road,513.0,1362.0,472.34,4331.9772,TRAIN
SHP-000033,2018-01-01,North,Delhi,WH014,Rail,1621.0,1360.0,503.77,13668.272,TRAIN
SHP-000034,2018-01-01,North,Delhi,WH050,Air,688.0,2008.0,460.14,8565.3248,TRAIN
SHP-000035,2018-01-01,North,Delhi,WH025,Road,1384.0,781.0,576.46,6701.6048,TRAIN
SHP-000036,2018-01-01,North,Delhi,WH014,Air,1780.0,1061.0,550.77,11709.196,TRAIN
SHP-000037,2018-01-01,North,Delhi,WH039,Rail,,1035.0,479.82,2438.46,TRAIN
SHP-000038,2018-01-01,North,Delhi,WH030,Road,1710.0,2127.0,444.49,22550.454,TRAIN
SHP-000039,2018-01-01,North,Delhi,WH037,Road,866.0,1918.0,613.0,10298.1256,TRAIN
SHP-000040,2018-01-01,North,Delhi,WH041,Road,689.0,1494.0,508.93,6382.0692,TRAIN
SHP-000041,2018-01-01,South,Tamil Nadu,WH040,Road,1369.0,1171.0,693.07,9939.2138,TRAIN
SHP-000042,2018-01-01,South,Tamil Nadu,WH048,Air,1488.0,586.0,397.44,5406.2016,TRAIN
SHP-000043,2018-01-01,South,Tamil Nadu,WH044,Rail,595.0,1724.0,616.21,6359.836,TRAIN
SHP-000044,2018-01-01,South,Tamil Nadu,WH006,Rail,431.0,2158.0,485.2,5766.6076,TRAIN
SHP-000045,2018-01-01,South,Tamil Nadu,WH007,Road,849.0,1286.0,682.77,6769.2468,TRAIN
SHP-000046,2018-01-01,South,Tamil Nadu,WH016,Air,812.0,418.0,477.24,2104.3792,TRAIN
SHP-000047,2018-01-01,South,Tamil Nadu,WH027,Air,151.0,2128.0,463.16,1992.2336,TRAIN
SHP-000048,2018-01-01,South,Tamil Nadu,WH034,Road,90.0,1159.0,628.18,646.722,TRAIN
