Order_ID,Date,Region,State,Distributor_ID,Channel_Type,Product_SKU,Tonnage,Star_Rating,AC_Type,Units_Ordered,Units_Fulfilled,Fulfillment_Rate_%,Units_Backordered,Split_Tag
ORD-2018-01-000001,2018-01-01,North,Delhi,DIST-No-000,Distributor,SKU004,0.75,2.0,Portable,371.0,311.0,0.8383,60.0,TRAIN
ORD-2018-01-000002,2018-01-01,North,Delhi,DIST-No-001,Distributor,SKU004,0.75,2.0,Portable,238.0,199.0,0.8361,39.0,TRAIN
ORD-2018-01-000003,2018-01-01,North,Delhi,DIST-No-002,Distributor,SKU002,1.0,3.0,Window,283.0,272.0,0.9611,11.0,TRAIN
ORD-2018-01-000004,2018-01-01,North,Delhi,DIST-No-003,Retail,SKU005,3.0,4.0,Tower,265.0,234.0,0.883,31.0,TRAIN
ORD-2018-01-000005,2018-01-01,North,Delhi,DIST-No-004,Retail,,2.0,5.0,Cassette,276.0,266.0,0.9638,10.0,TRAIN
ORD-2018-01-000006,2018-01-01,North,Delhi,DIST-No-005,Distributor,SKU001,1.5,5.0,Split,159.0,141.0,0.8868,18.0,TRAIN
ORD-2018-01-000007,2018-01-01,North,Delhi,DIST-No-006,Distributor,SKU005,,4.0,Tower,272.0,224.0,0.8235,48.0,TRAIN
ORD-2018-01-000008,2018-01-01,North,Delhi,DIST-No-007,Distributor,SKU001,1.5,5.0,Split,249.0,208.0,0.8353,41.0,TRAIN
ORD-2018-01-000009,2018-01-01,North,Delhi,DIST-No-008,Retail,SKU001,1.5,5.0,Split,296.0,251.0,0.848,45.0,TRAIN
ORD-2018-01-000010,2018-01-01,North,Delhi,DIST-No-009,Online,SKU001,1.5,5.0,Split,288.0,284.0,0.9861,,TRAIN
ORD-2018-01-000011,2018-01-01,North,Delhi,DIST-No-010,Retail,SKU005,3.0,4.0,Tower,176.0,174.0,0.9886,2.0,TRAIN
ORD-2018-01-000012,2018-01-01,North,Delhi,DIST-No-011,Online,SKU003,2.0,5.0,Cassette,200.0,164.0,0.82,36.0,TRAIN
ORD-2018-01-000013,2018-01-01,North,Delhi,DIST-No-012,Online,SKU001,1.5,5.0,Split,178.0,,0.9775,4.0,TRAIN
ORD-2018-01-000014,2018-01-01,North,Delhi,DIST-No-013,Distributor,SKU004,0.75,2.0,Portable,461.0,393.0,0.8525,68.0,TRAIN
ORD-2018-01-000015,2018-01-01,North,Delhi,DIST-No-014,Online,SKU003,2.0,5.0,Cassette,194.0,174.0,0.8969,20.0,TRAIN
ORD-2018-01-000016,2018-01-01,North,Delhi,DIST-No-015,Online,SKU005,3.0,4.0,Tower,421.0,356.0,0.8456,65.0,TRAIN
ORD-2018-01-000017,2018-01-01,North,Delhi,DIST-No-016,Retail,SKU005,3.0,4.0,Tower,178.0,153.0,0.8596,25.0,TRAIN
ORD-2018-01-000018,2018-01-01,North,Delhi,DIST-No-017,Online,SKU003,2.0,5.0,,257.0,215.0,0.8366,42.0,TRAIN
ORD-2018-01-000019,2018-01-01,North,Delhi,DIST-No-018,Retail,SKU001,1.5,5.0,Split,336.0,327.0,0.9732,9.0,TRAIN
ORD-2018-01-000020,2018-01-01,North,Delhi,DIST-No-019,Online,SKU004,0.75,2.0,Portable,287.0,286.0,0.9965,1.0,TRAIN
ORD-2018-01-000021,2018-01-01,North,Delhi,DIST-No-020,Retail,SKU004,0.75,2.0,Portable,273.0,232.0,0.8498,41.0,TRAIN
ORD-2018-01-000022,2018-01-01,North,Delhi,DIST-No-021,Distributor,SKU002,1.0,3.0,Window,204.0,176.0,0.8627,28.0,TRAIN
ORD-2018-01-000023,2018-01-01,North,Delhi,DIST-No-022,Online,SKU001,1.5,5.0,Split,102.0,94.0,0.9216,,TRAIN
ORD-2018-01-000024,2018-01-01,North,Delhi,DIST-No-023,Retail,SKU004,0.75,2.0,Portable,396.0,328.0,,68.0,TRAIN
ORD-2018-01-000025,2018-01-01,North,Delhi,DIST-No-024,Retail,SKU001,1.5,5.0,Split,245.0,204.0,0.8327,41.0,TRAIN
ORD-2018-01-000026,2018-01-01,North,Delhi,DIST-No-025,Retail,SKU004,0.75,2.0,Portable,294.0,250.0,0.8503,44.0,TRAIN
ORD-2018-01-000027,2018-01-01,North,Delhi,DIST-No-026,Online,SKU002,1.0,3.0,Window,232.0,213.0,0.9181,19.0,TRAIN
ORD-2018-01-000028,2018-01-01,North,Delhi,DIST-No-027,Online,SKU002,1.0,3.0,Window,237.0,236.0,0.9958,1.0,TRAIN
ORD-2018-01-000029,2018-01-01,North,Delhi,DIST-No-028,Online,SKU001,1.5,5.0,Split,169.0,167.0,0.9882,2.0,TRAIN
ORD-2018-01-000030,2018-01-01,North,Delhi,DIST-No-029,Online,SKU001,1.5,5.0,Split,306.0,283.0,0.9248,23.0,TRAIN
ORD-2018-01-000031,2018-01-01,North,Delhi,DIST-No-030,Retail,SKU001,1.5,5.0,Split,174.0,166.0,0.954,8.0,TRAIN
ORD-2018-01-000032,2018-01-01,North,Delhi,DIST-No-031,Distributor,SKU005,3.0,4.0,Tower,252.0,217.0,0.8611,35.0,TRAIN
ORD-2018-01-000033,2018-01-01,North,Delhi,DIST-No-032,Retail,SKU001,1.5,5.0,Split,216.0,198.0,0.9167,18.0,TRAIN
ORD-2018-01-000034,2018-01-01,North,Delhi,DIST-No-033,Retail,SKU003,2.0,5.0,Cassette,289.0,277.0,0.9585,12.0,TRAIN
ORD-2018-01-000035,2018-01-01,North,Delhi,DIST-No-034,Online,SKU003,2.0,5.0,Cassette,102.0,90.0,0.8824,12.0,TRAIN
ORD-2018-01-000036,2018-01-01,North,Delhi,DIST-No-035,Retail,SKU001,1.5,5.0,Split,374.0,356.0,0.9519,18.0,TRAIN
ORD-2018-01-000037,2018-01-01,North,Delhi,DIST-No-036,Retail,SKU002,1.0,3.0,Window,316.0,266.0,0.8418,50.0,TRAIN
ORD-2018-01-000038,2018-01-01,North,Delhi,DIST-No-037,Distributor,SKU003,2.0,5.0,Cassette,226.0,225.0,0.9956,1.0,TRAIN
ORD-2018-01-000039,2018-01-01,North,Delhi,DIST-No-038,,SKU005,3.0,4.0,Tower,233.0,224.0,0.9614,9.0,TRAIN
ORD-2018-01-000040,2018-01-01,North,Delhi,DIST-No-039,Retail,SKU004,0.75,2.0,Portable,121.0,120.0,,1.0,TRAIN
ORD-2018-01-000041,2018-01-01,South,Tamil Nadu,DIST-So-000,Retail,SKU003,2.0,5.0,Cassette,695.0,604.0,0.8691,91.0,TRAIN
ORD-2018-01-000042,2018-01-01,South,Tamil Nadu,DIST-So-001,Retail,SKU002,1.0,3.0,Window,543.0,455.0,0.8379,88.0,TRAIN
ORD-2018-01-000043,2018-01-01,South,Tamil Nadu,DIST-So-002,Retail,SKU005,3.0,4.0,Tower,,,0.8347,103.0,TRAIN
ORD-2018-01-000044,2018-01-01,South,Tamil Nadu,DIST-So-003,Distributor,SKU004,0.75,2.0,Portable,701.0,697.0,0.9943,4.0,TRAIN
ORD-2018-01-000045,2018-01-01,South,Tamil Nadu,DIST-So-004,Retail,SKU001,1.5,5.0,Split,745.0,667.0,0.8953,78.0,TRAIN
ORD-2018-01-000046,2018-01-01,South,Tamil Nadu,DIST-So-005,Online,SKU005,3.0,4.0,,538.0,500.0,0.9294,38.0,TRAIN
ORD-2018-01-000047,2018-01-01,South,Tamil Nadu,DIST-So-006,Online,SKU004,0.75,2.0,Portable,690.0,664.0,0.9623,26.0,TRAIN
ORD-2018-01-000048,2018-01-01,South,Tamil Nadu,DIST-So-007,Online,SKU004,0.75,2.0,Portable,584.0,567.0,,17.0,TRAIN
ORD-2018-01-000049,2018-01-01,South,Tamil Nadu,DIST-So-008,Retail,SKU001,1.5,5.0,Split,790.0,736.0,0.9316,54.0,TRAIN
ORD-2018-01-000050,2018-01-01,South,Tamil Nadu,DIST-So-009,Distributor,SKU005,3.0,4.0,Tower,817.0,693.0,0.8482,124.0,TRAIN
ORD-2018-01-000051,2018-01-01,South,Tamil Nadu,DIST-So-010,Online,SKU001,1.5,5.0,Split,646.0,535.0,0.8282,111.0,TRAIN
ORD-2018-01-000052,2018-01-01,South,Tamil Nadu,DIST-So-011,Retail,SKU001,1.5,5.0,Split,698.0,615.0,0.8811,83.0,TRAIN
ORD-2018-01-000053,2018-01-01,South,Tamil Nadu,DIST-So-012,Retail,SKU004,0.75,2.0,Portable,710.0,672.0,0.9465,38.0,TRAIN
ORD-2018-01-000054,2018-01-01,South,Tamil Nadu,DIST-So-013,Online,SKU002,1.0,3.0,Window,712.0,697.0,0.9789,15.0,TRAIN
ORD-2018-01-000055,2018-01-01,South,Tamil Nadu,DIST-So-014,Retail,SKU005,3.0,4.0,Tower,608.0,593.0,0.9753,15.0,TRAIN
ORD-2018-01-000056,2018-01-01,South,Tamil Nadu,DIST-So-015,Online,SKU002,1.0,3.0,Window,706.0,635.0,0.8994,71.0,TRAIN
ORD-2018-01-000057,2018-01-01,South,Tamil Nadu,DIST-So-016,Distributor,SKU005,3.0,4.0,Tower,520.0,465.0,0.8942,55.0,TRAIN
ORD-2018-01-000058,2018-01-01,South,Tamil Nadu,DIST-So-017,Retail,SKU001,1.5,5.0,Split,587.0,516.0,,71.0,TRAIN
ORD-2018-01-000059,2018-01-01,South,Tamil Nadu,DIST-So-018,Retail,SKU003,2.0,5.0,Cassette,659.0,654.0,0.9924,5.0,TRAIN
ORD-2018-01-000060,2018-01-01,South,Tamil Nadu,DIST-So-019,,,1.5,5.0,Split,678.0,604.0,0.8909,74.0,TRAIN
ORD-2018-01-000061,2018-01-01,South,Tamil Nadu,DIST-So-020,Online,SKU003,2.0,5.0,Cassette,544.0,538.0,0.989,,TRAIN
ORD-2018-01-000062,2018-01-01,South,Tamil Nadu,DIST-So-021,Online,SKU001,1.5,5.0,Split,609.0,519.0,0.8522,90.0,TRAIN
ORD-2018-01-000063,2018-01-01,South,Tamil Nadu,DIST-So-022,Distributor,SKU001,1.5,,Split,,508.0,0.8866,65.0,TRAIN
ORD-2018-01-000064,2018-01-01,South,Tamil Nadu,DIST-So-023,Online,SKU002,1.0,3.0,Window,588.0,519.0,0.8827,69.0,TRAIN
ORD-2018-01-000065,2018-01-01,South,Tamil Nadu,DIST-So-024,,SKU004,0.75,2.0,Portable,740.0,708.0,0.9568,32.0,TRAIN
ORD-2018-01-000066,2018-01-01,South,Tamil Nadu,DIST-So-025,Distributor,SKU004,0.75,2.0,Portable,627.0,584.0,0.9314,43.0,TRAIN
ORD-2018-01-000067,2018-01-01,South,Tamil Nadu,DIST-So-026,Online,SKU004,0.75,2.0,Portable,546.0,460.0,0.8425,86.0,TRAIN
ORD-2018-01-000068,2018-01-01,South,Tamil Nadu,DIST-So-027,Retail,,3.0,4.0,Tower,730.0,728.0,0.9973,2.0,TRAIN
ORD-2018-01-000069,2018-01-01,South,Tamil Nadu,DIST-So-028,Online,SKU001,1.5,5.0,Split,573.0,510.0,0.8901,63.0,TRAIN
ORD-2018-01-000070,2018-01-01,South,Tamil Nadu,DIST-So-029,Online,SKU003,2.0,5.0,Cassette,702.0,586.0,0.8348,116.0,TRAIN
ORD-2018-01-000071,2018-01-01,South,Tamil Nadu,DIST-So-030,Online,SKU005,3.0,4.0,Tower,734.0,667.0,0.9087,67.0,TRAIN
ORD-2018-01-000072,2018-01-01,South,Tamil Nadu,DIST-So-031,Retail,SKU005,3.0,4.0,Tower,674.0,600.0,0.8902,74.0,TRAIN
ORD-2018-01-000073,2018-01-01,South,Tamil Nadu,DIST-So-032,Online,SKU001,1.5,5.0,Split,612.0,528.0,0.8627,84.0,TRAIN
ORD-2018-01-000074,2018-01-01,South,Tamil Nadu,DIST-So-033,Retail,SKU004,0.75,2.0,Portable,594.0,589.0,0.9916,5.0,TRAIN
ORD-2018-01-000075,2018-01-01,South,Tamil Nadu,DIST-So-034,Online,SKU001,1.5,5.0,Split,,666.0,0.9263,53.0,TRAIN
ORD-2018-01-000076,2018-01-01,South,Tamil Nadu,DIST-So-035,Online,SKU004,0.75,2.0,Portable,625.0,594.0,0.9504,31.0,TRAIN
