Sale_ID,Date,Region,State,Distributor_ID,Channel,Product_SKU,Brand,Net_Units_Sold_TARGET,Avg_Selling_Price_INR,Discount_%,Net_Revenue_INR,Split_Tag
SALE-000001,2018-01-01,North,Delhi,DIST-No-000,Distributor,SKU004,Others,318.0,40939.04,9.0001,11846929.51,TRAIN
SALE-000002,2018-01-01,North,Delhi,DIST-No-001,Distributor,SKU004,BrandB,228.0,32839.53,7.9891,6889237.62,TRAIN
SALE-000003,2018-01-01,North,Delhi,DIST-No-002,Distributor,SKU002,BrandB,277.0,32636.86,5.5523,8538459.79,TRAIN
SALE-000004,2018-01-01,North,Delhi,DIST-No-003,Retail,SKU005,BrandC,234.0,33688.17,6.0537,7405818.4,TRAIN
SALE-000005,2018-01-01,North,Delhi,DIST-No-004,Retail,SKU003,Others,241.0,38422.15,9.7021,8361348.01,TRAIN
SALE-000006,2018-01-01,North,Delhi,DIST-No-005,Distributor,SKU001,BrandA,141.0,36283.19,6.8429,4765851.94,TRAIN
SALE-000007,2018-01-01,North,Delhi,DIST-No-006,Distributor,SKU005,BrandA,247.0,37944.3,3.7505,9020738.0,TRAIN
SALE-000008,2018-01-01,North,Delhi,DIST-No-007,Distributor,SKU001,BrandA,240.0,35437.13,7.9651,7827486.59,TRAIN
SALE-000009,2018-01-01,North,Delhi,DIST-No-008,Retail,SKU001,BrandC,244.0,41424.16,8.8926,9208675.37,TRAIN
SALE-000010,2018-01-01,North,Delhi,DIST-No-009,Online,SKU001,Others,276.0,34383.46,5.9427,8925879.44,TRAIN
SALE-000011,2018-01-01,North,Delhi,DIST-No-010,Retail,SKU005,Others,143.0,35577.89,3.3211,4918673.48,TRAIN
SALE-000012,2018-01-01,North,Delhi,DIST-No-011,Online,SKU003,BrandA,192.0,34166.91,9.8557,5913511.39,TRAIN
SALE-000013,2018-01-01,North,Delhi,DIST-No-012,Online,SKU001,BrandA,185.0,36308.71,6.8668,6255862.4,TRAIN
SALE-000014,2018-01-01,North,Delhi,DIST-No-013,Distributor,SKU004,BrandB,381.0,38062.8,4.2375,13887407.92,TRAIN
SALE-000015,2018-01-01,North,Delhi,DIST-No-014,Online,SKU003,BrandA,201.0,37243.41,7.1082,6953810.4,TRAIN
SALE-000016,2018-01-01,North,Delhi,DIST-No-015,Online,SKU005,,340.0,37317.54,5.8534,11945285.37,TRAIN
SALE-000017,2018-01-01,North,Delhi,DIST-No-016,Retail,SKU005,BrandA,147.0,,5.2241,4918066.49,TRAIN
