Warehouse_ID,Date,Region,Utilization_%,Days_Of_Supply_Remaining,Stock_Aging_90d_Plus,SLA_Compliance_%,Split_Tag
WH001,2018-01-01,East,95.987,30.0,1473.0,94.4026,TRAIN
WH001,2018-01-01,North,80.8892,5.0,2258.0,93.8097,TRAIN
WH001,2018-01-01,South,61.1766,37.0,339.0,89.8106,TRAIN
WH002,2018-01-01,West,73.2396,39.0,2279.0,97.9052,TRAIN
WH002,2018-01-01,Central,66.4014,31.0,1558.0,85.0365,TRAIN
WH002,2018-01-01,East,40.815,35.0,418.0,92.7774,TRAIN
WH003,2018-01-01,South,64.9494,30.0,2456.0,97.7922,TRAIN
WH003,2018-01-01,South,68.1025,5.0,1826.0,89.4315,TRAIN
WH003,2018-01-01,East,48.181,8.0,549.0,90.0808,TRAIN
WH004,2018-01-01,East,85.0382,10.0,1718.0,87.634,TRAIN
WH004,2018-01-01,West,77.8102,,2279.0,93.8825,TRAIN
WH004,2018-01-01,East,91.37,23.0,1529.0,87.3628,TRAIN
WH005,2018-01-01,South,44.2094,8.0,2402.0,95.1915,TRAIN
WH005,2018-01-01,South,79.6421,31.0,2165.0,92.6692,TRAIN
WH005,2018-01-01,East,82.8769,23.0,2088.0,94.1031,TRAIN
WH006,2018-01-01,Central,79.6155,36.0,221.0,95.6368,TRAIN
WH006,2018-01-01,West,57.8272,21.0,2351.0,94.6203,TRAIN
WH006,2018-01-01,South,45.3619,44.0,678.0,96.2176,TRAIN
WH007,2018-01-01,South,66.5599,32.0,1924.0,98.6412,TRAIN
WH007,2018-01-01,West,88.1736,12.0,616.0,95.8951,TRAIN
WH007,2018-01-01,West,54.2087,35.0,911.0,94.014,TRAIN
WH008,2018-01-01,Central,46.9214,42.0,2180.0,87.0247,TRAIN
WH008,2018-01-01,East,87.4484,27.0,1500.0,85.5259,TRAIN
WH008,2018-01-01,North,76.9783,16.0,1118.0,94.1649,TRAIN
WH009,2018-01-01,North,94.6422,12.0,541.0,88.0795,TRAIN
WH009,2018-01-01,North,83.1117,30.0,658.0,91.8749,TRAIN
WH009,2018-01-01,North,91.2289,37.0,1596.0,90.1081,TRAIN
WH010,2018-01-01,South,78.3277,27.0,319.0,98.0046,TRAIN
WH010,2018-01-01,West,,,1094.0,93.3627,TRAIN
WH010,2018-01-01,North,64.8634,25.0,892.0,92.0325,TRAIN
WH011,2018-01-01,West,71.1144,34.0,1035.0,86.1449,TRAIN
WH011,2018-01-01,East,85.3535,20.0,344.0,98.6323,TRAIN
WH011,2018-01-01,West,78.4956,13.0,2295.0,96.7083,TRAIN
WH012,2018-01-01,North,86.335,17.0,1626.0,86.5509,TRAIN
WH012,2018-01-01,West,79.8563,36.0,1890.0,92.0997,TRAIN
WH012,2018-01-01,North,52.5356,43.0,1205.0,95.6396,TRAIN
WH013,2018-01-01,North,,,2213.0,90.0861,TRAIN
